Country,Continent,ISO_Code,Level,GDLCODE,shapeName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr214,Bagerhat,7.444,7.459,7.496,7.525,7.549,7.579,7.6,7.628,7.66,7.688,7.722,7.75,7.778,7.807,7.845,7.884,7.938,7.992,8.042,8.074,8.108,8.146,8.152,8.143,8.127,8.218,8.3,8.381,8.487,8.593,8.616,8.682,8.727
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr214,Khulna,7.444,7.459,7.496,7.525,7.549,7.579,7.6,7.628,7.66,7.688,7.722,7.75,7.778,7.807,7.845,7.884,7.938,7.992,8.042,8.074,8.108,8.146,8.152,8.143,8.127,8.218,8.3,8.381,8.487,8.593,8.616,8.682,8.727
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr214,Satkhira,7.444,7.459,7.496,7.525,7.549,7.579,7.6,7.628,7.66,7.688,7.722,7.75,7.778,7.807,7.845,7.884,7.938,7.992,8.042,8.074,8.108,8.146,8.152,8.143,8.127,8.218,8.3,8.381,8.487,8.593,8.616,8.682,8.727
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr204,Bandarban,7.135,7.15,7.185,7.213,7.236,7.264,7.285,7.311,7.342,7.369,7.402,7.429,7.455,7.483,7.519,7.557,7.61,7.662,7.71,7.742,7.775,7.812,7.897,7.97,8.035,8.058,8.072,8.085,8.123,8.161,8.183,8.245,8.288
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr204,Cox's Bazar,7.135,7.15,7.185,7.213,7.236,7.264,7.285,7.311,7.342,7.369,7.402,7.429,7.455,7.483,7.519,7.557,7.61,7.662,7.71,7.742,7.775,7.812,7.897,7.97,8.035,8.058,8.072,8.085,8.123,8.161,8.183,8.245,8.288
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr202,Barguna,7.274,7.289,7.325,7.354,7.376,7.406,7.427,7.454,7.485,7.512,7.546,7.573,7.601,7.629,7.666,7.701,7.752,7.802,7.848,7.877,7.908,7.942,7.986,8.017,8.04,8.073,8.096,8.118,8.165,8.211,8.233,8.296,8.34
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr202,Bhola,7.274,7.289,7.325,7.354,7.376,7.406,7.427,7.454,7.485,7.512,7.546,7.573,7.601,7.629,7.666,7.701,7.752,7.802,7.848,7.877,7.908,7.942,7.986,8.017,8.04,8.073,8.096,8.118,8.165,8.211,8.233,8.296,8.34
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr202,Patuakhali,7.274,7.289,7.325,7.354,7.376,7.406,7.427,7.454,7.485,7.512,7.546,7.573,7.601,7.629,7.666,7.701,7.752,7.802,7.848,7.877,7.908,7.942,7.986,8.017,8.04,8.073,8.096,8.118,8.165,8.211,8.233,8.296,8.34
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr201,Barisal,7.565,7.58,7.618,7.648,7.671,7.702,7.724,7.752,7.784,7.813,7.847,7.876,7.904,7.934,7.972,8.002,8.048,8.093,8.134,8.157,8.182,8.211,8.333,8.442,8.543,8.518,8.484,8.449,8.439,8.429,8.452,8.516,8.561
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr201,Jhalokati,7.565,7.58,7.618,7.648,7.671,7.702,7.724,7.752,7.784,7.813,7.847,7.876,7.904,7.934,7.972,8.002,8.048,8.093,8.134,8.157,8.182,8.211,8.333,8.442,8.543,8.518,8.484,8.449,8.439,8.429,8.452,8.516,8.561
