Country,Continent,ISO_Code,Level,GDLCODE,shapeName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr201,Pirojpur,7.565,7.58,7.618,7.648,7.671,7.702,7.724,7.752,7.784,7.813,7.847,7.876,7.904,7.934,7.972,8.002,8.048,8.093,8.134,8.157,8.182,8.211,8.333,8.442,8.543,8.518,8.484,8.449,8.439,8.429,8.452,8.516,8.561
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr219,Bogra,7.331,7.346,7.382,7.411,7.434,7.464,7.485,7.512,7.543,7.571,7.605,7.633,7.66,7.688,7.726,7.769,7.828,7.886,7.94,7.976,8.015,8.058,8.122,8.174,8.217,8.266,8.306,8.345,8.408,8.472,8.495,8.56,8.604
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr219,Gaibandha,7.331,7.346,7.382,7.411,7.434,7.464,7.485,7.512,7.543,7.571,7.605,7.633,7.66,7.688,7.726,7.769,7.828,7.886,7.94,7.976,8.015,8.058,8.122,8.174,8.217,8.266,8.306,8.345,8.408,8.472,8.495,8.56,8.604
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr219,Joypurhat,7.331,7.346,7.382,7.411,7.434,7.464,7.485,7.512,7.543,7.571,7.605,7.633,7.66,7.688,7.726,7.769,7.828,7.886,7.94,7.976,8.015,8.058,8.122,8.174,8.217,8.266,8.306,8.345,8.408,8.472,8.495,8.56,8.604
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr207,Brahamanbaria,7.44,7.455,7.492,7.521,7.545,7.575,7.596,7.624,7.655,7.684,7.718,7.746,7.774,7.803,7.841,7.903,7.982,8.06,8.134,8.189,8.248,8.31,8.391,8.46,8.52,8.581,8.631,8.681,8.757,8.833,8.857,8.924,8.971
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr207,Chandpur,7.44,7.455,7.492,7.521,7.545,7.575,7.596,7.624,7.655,7.684,7.718,7.746,7.774,7.803,7.841,7.903,7.982,8.06,8.134,8.189,8.248,8.31,8.391,8.46,8.52,8.581,8.631,8.681,8.757,8.833,8.857,8.924,8.971
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr207,Comilla,7.44,7.455,7.492,7.521,7.545,7.575,7.596,7.624,7.655,7.684,7.718,7.746,7.774,7.803,7.841,7.903,7.982,8.06,8.134,8.189,8.248,8.31,8.391,8.46,8.52,8.581,8.631,8.681,8.757,8.833,8.857,8.924,8.971
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr203,Chittagong,7.749,7.765,7.803,7.834,7.858,7.889,7.912,7.94,7.973,8.003,8.038,8.068,8.097,8.127,8.166,8.232,8.313,8.395,8.471,8.529,8.59,8.655,8.705,8.741,8.768,8.804,8.83,8.854,8.906,8.957,8.981,9.05,9.097
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr216,Chuadanga,7.531,7.546,7.584,7.614,7.637,7.667,7.689,7.717,7.749,7.778,7.812,7.841,7.869,7.898,7.937,7.979,8.037,8.094,8.147,8.183,8.22,8.262,8.33,8.385,8.432,8.485,8.529,8.572,8.64,8.709,8.732,8.799,8.845
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr216,Jhenaidah,7.531,7.546,7.584,7.614,7.637,7.667,7.689,7.717,7.749,7.778,7.812,7.841,7.869,7.898,7.937,7.979,8.037,8.094,8.147,8.183,8.22,8.262,8.33,8.385,8.432,8.485,8.529,8.572,8.64,8.709,8.732,8.799,8.845
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr216,Kushtia,7.531,7.546,7.584,7.614,7.637,7.667,7.689,7.717,7.749,7.778,7.812,7.841,7.869,7.898,7.937,7.979,8.037,8.094,8.147,8.183,8.22,8.262,8.33,8.385,8.432,8.485,8.529,8.572,8.64,8.709,8.732,8.799,8.845
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr216,Meherpur,7.531,7.546,7.584,7.614,7.637,7.667,7.689,7.717,7.749,7.778,7.812,7.841,7.869,7.898,7.937,7.979,8.037,8.094,8.147,8.183,8.22,8.262,8.33,8.385,8.432,8.485,8.529,8.572,8.64,8.709,8.732,8.799,8.845
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr208,Dhaka,8.438,8.455,8.497,8.531,8.557,8.591,8.616,8.647,8.683,8.715,8.753,8.786,8.817,8.85,8.893,8.961,9.047,9.133,9.214,9.274,9.338,9.405,9.35,9.279,9.198,9.229,9.249,9.268,9.314,9.361,9.386,9.458,9.507
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr220,Dinajpur,7.251,7.265,7.301,7.33,7.353,7.382,7.403,7.43,7.46,7.488,7.521,7.549,7.576,7.604,7.641,7.688,7.75,7.812,7.87,7.91,7.953,7.999,8.06,8.108,8.149,8.216,8.275,8.332,8.414,8.497,8.52,8.585,8.63
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr220,Nilphamari,7.251,7.265,7.301,7.33,7.353,7.382,7.403,7.43,7.46,7.488,7.521,7.549,7.576,7.604,7.641,7.688,7.75,7.812,7.87,7.91,7.953,7.999,8.06,8.108,8.149,8.216,8.275,8.332,8.414,8.497,8.52,8.585,8.63
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr220,Panchagarh,7.251,7.265,7.301,7.33,7.353,7.382,7.403,7.43,7.46,7.488,7.521,7.549,7.576,7.604,7.641,7.688,7.75,7.812,7.87,7.91,7.953,7.999,8.06,8.108,8.149,8.216,8.275,8.332,8.414,8.497,8.52,8.585,8.63
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr220,Thakurgaon,7.251,7.265,7.301,7.33,7.353,7.382,7.403,7.43,7.46,7.488,7.521,7.549,7.576,7.604,7.641,7.688,7.75,7.812,7.87,7.91,7.953,7.999,8.06,8.108,8.149,8.216,8.275,8.332,8.414,8.497,8.52,8.585,8.63
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr212,Faridpur,7.547,7.562,7.6,7.63,7.653,7.684,7.706,7.733,7.765,7.794,7.829,7.858,7.886,7.915,7.954,7.968,7.998,8.028,8.054,8.061,8.071,8.085,8.142,8.185,8.22,8.289,8.349,8.408,8.491,8.575,8.598,8.664,8.709
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr212,Manikganj,7.547,7.562,7.6,7.63,7.653,7.684,7.706,7.733,7.765,7.794,7.829,7.858,7.886,7.915,7.954,7.968,7.998,8.028,8.054,8.061,8.071,8.085,8.142,8.185,8.22,8.289,8.349,8.408,8.491,8.575,8.598,8.664,8.709
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr212,Rajbari,7.547,7.562,7.6,7.63,7.653,7.684,7.706,7.733,7.765,7.794,7.829,7.858,7.886,7.915,7.954,7.968,7.998,8.028,8.054,8.061,8.071,8.085,8.142,8.185,8.22,8.289,8.349,8.408,8.491,8.575,8.598,8.664,8.709
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr206,Feni,7.507,7.522,7.559,7.589,7.613,7.643,7.665,7.692,7.724,7.753,7.787,7.816,7.844,7.873,7.911,7.95,8.005,8.06,8.11,8.142,8.177,8.215,8.283,8.339,8.386,8.43,8.464,8.498,8.557,8.616,8.639,8.705,8.75
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr206,Lakshmipur,7.507,7.522,7.559,7.589,7.613,7.643,7.665,7.692,7.724,7.753,7.787,7.816,7.844,7.873,7.911,7.95,8.005,8.06,8.11,8.142,8.177,8.215,8.283,8.339,8.386,8.43,8.464,8.498,8.557,8.616,8.639,8.705,8.75
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr206,Noakhali,7.507,7.522,7.559,7.589,7.613,7.643,7.665,7.692,7.724,7.753,7.787,7.816,7.844,7.873,7.911,7.95,8.005,8.06,8.11,8.142,8.177,8.215,8.283,8.339,8.386,8.43,8.464,8.498,8.557,8.616,8.639,8.705,8.75
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr209,Gazipur,7.538,7.553,7.591,7.621,7.644,7.675,7.697,7.725,7.756,7.785,7.82,7.848,7.877,7.906,7.944,8.031,8.133,8.236,8.334,8.414,8.496,8.582,8.642,8.688,8.726,8.757,8.777,8.797,8.843,8.89,8.914,8.982,9.028
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr209,Narayanganj,7.538,7.553,7.591,7.621,7.644,7.675,7.697,7.725,7.756,7.785,7.82,7.848,7.877,7.906,7.944,8.031,8.133,8.236,8.334,8.414,8.496,8.582,8.642,8.688,8.726,8.757,8.777,8.797,8.843,8.89,8.914,8.982,9.028
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr209,Narsingdi,7.538,7.553,7.591,7.621,7.644,7.675,7.697,7.725,7.756,7.785,7.82,7.848,7.877,7.906,7.944,8.031,8.133,8.236,8.334,8.414,8.496,8.582,8.642,8.688,8.726,8.757,8.777,8.797,8.843,8.89,8.914,8.982,9.028
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr213,Gopalganj,7.406,7.421,7.457,7.487,7.51,7.54,7.561,7.589,7.62,7.648,7.682,7.71,7.738,7.767,7.805,7.864,7.939,8.015,8.085,8.138,8.193,8.252,8.308,8.35,8.385,8.45,8.506,8.561,8.642,8.723,8.746,8.813,8.859
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr213,Madaripur,7.406,7.421,7.457,7.487,7.51,7.54,7.561,7.589,7.62,7.648,7.682,7.71,7.738,7.767,7.805,7.864,7.939,8.015,8.085,8.138,8.193,8.252,8.308,8.35,8.385,8.45,8.506,8.561,8.642,8.723,8.746,8.813,8.859
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr213,Munshiganj,7.406,7.421,7.457,7.487,7.51,7.54,7.561,7.589,7.62,7.648,7.682,7.71,7.738,7.767,7.805,7.864,7.939,8.015,8.085,8.138,8.193,8.252,8.308,8.35,8.385,8.45,8.506,8.561,8.642,8.723,8.746,8.813,8.859
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr213,Shariatpur,7.406,7.421,7.457,7.487,7.51,7.54,7.561,7.589,7.62,7.648,7.682,7.71,7.738,7.767,7.805,7.864,7.939,8.015,8.085,8.138,8.193,8.252,8.308,8.35,8.385,8.45,8.506,8.561,8.642,8.723,8.746,8.813,8.859
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr223,Habiganj,7.227,7.241,7.277,7.306,7.328,7.357,7.378,7.405,7.436,7.463,7.496,7.524,7.551,7.579,7.616,7.659,7.717,7.775,7.828,7.865,7.903,7.945,7.985,8.012,8.031,8.101,8.163,8.223,8.308,8.393,8.416,8.48,8.524
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr223,Sunamganj,7.227,7.241,7.277,7.306,7.328,7.357,7.378,7.405,7.436,7.463,7.496,7.524,7.551,7.579,7.616,7.659,7.717,7.775,7.828,7.865,7.903,7.945,7.985,8.012,8.031,8.101,8.163,8.223,8.308,8.393,8.416,8.48,8.524
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr210,Jamalpur,7.25,7.265,7.301,7.329,7.352,7.381,7.402,7.429,7.46,7.487,7.521,7.548,7.575,7.603,7.64,7.688,7.751,7.814,7.872,7.913,7.957,8.004,8.077,8.137,8.19,8.254,8.31,8.364,8.443,8.522,8.545,8.61,8.655
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr210,Sherpur,7.25,7.265,7.301,7.329,7.352,7.381,7.402,7.429,7.46,7.487,7.521,7.548,7.575,7.603,7.64,7.688,7.751,7.814,7.872,7.913,7.957,8.004,8.077,8.137,8.19,8.254,8.31,8.364,8.443,8.522,8.545,8.61,8.655
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr210,Tangail,7.25,7.265,7.301,7.329,7.352,7.381,7.402,7.429,7.46,7.487,7.521,7.548,7.575,7.603,7.64,7.688,7.751,7.814,7.872,7.913,7.957,8.004,8.077,8.137,8.19,8.254,8.31,8.364,8.443,8.522,8.545,8.61,8.655
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr215,Jessore,7.624,7.639,7.677,7.707,7.731,7.762,7.784,7.812,7.845,7.874,7.909,7.938,7.966,7.996,8.035,8.056,8.093,8.131,8.163,8.177,8.194,8.215,8.254,8.279,8.296,8.379,8.451,8.523,8.62,8.718,8.741,8.808,8.854
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr215,Magura,7.624,7.639,7.677,7.707,7.731,7.762,7.784,7.812,7.845,7.874,7.909,7.938,7.966,7.996,8.035,8.056,8.093,8.131,8.163,8.177,8.194,8.215,8.254,8.279,8.296,8.379,8.451,8.523,8.62,8.718,8.741,8.808,8.854
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr215,Narail,7.624,7.639,7.677,7.707,7.731,7.762,7.784,7.812,7.845,7.874,7.909,7.938,7.966,7.996,8.035,8.056,8.093,8.131,8.163,8.177,8.194,8.215,8.254,8.279,8.296,8.379,8.451,8.523,8.62,8.718,8.741,8.808,8.854
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr205,Khagrachhari,7.293,7.308,7.344,7.373,7.396,7.425,7.446,7.473,7.504,7.532,7.565,7.593,7.62,7.649,7.686,7.708,7.746,7.784,7.817,7.833,7.851,7.873,7.973,8.062,8.142,8.145,8.14,8.134,8.152,8.17,8.192,8.254,8.297
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr205,Rangamati,7.293,7.308,7.344,7.373,7.396,7.425,7.446,7.473,7.504,7.532,7.565,7.593,7.62,7.649,7.686,7.708,7.746,7.784,7.817,7.833,7.851,7.873,7.973,8.062,8.142,8.145,8.14,8.134,8.152,8.17,8.192,8.254,8.297
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr211,Kishoreganj,7.193,7.208,7.244,7.272,7.295,7.323,7.344,7.371,7.402,7.429,7.462,7.489,7.516,7.544,7.581,7.622,7.678,7.735,7.787,7.821,7.859,7.899,7.949,7.986,8.015,8.089,8.153,8.216,8.303,8.391,8.414,8.478,8.522
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr211,Mymensingh,7.193,7.208,7.244,7.272,7.295,7.323,7.344,7.371,7.402,7.429,7.462,7.489,7.516,7.544,7.581,7.622,7.678,7.735,7.787,7.821,7.859,7.899,7.949,7.986,8.015,8.089,8.153,8.216,8.303,8.391,8.414,8.478,8.522
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr211,Netrakona,7.193,7.208,7.244,7.272,7.295,7.323,7.344,7.371,7.402,7.429,7.462,7.489,7.516,7.544,7.581,7.622,7.678,7.735,7.787,7.821,7.859,7.899,7.949,7.986,8.015,8.089,8.153,8.216,8.303,8.391,8.414,8.478,8.522
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr221,Kurigram,7.2,7.214,7.25,7.278,7.301,7.33,7.351,7.378,7.408,7.435,7.469,7.496,7.523,7.551,7.588,7.626,7.68,7.734,7.783,7.815,7.85,7.888,7.966,8.032,8.09,8.13,8.16,8.189,8.242,8.296,8.319,8.382,8.426
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr221,Lalmonirhat,7.2,7.214,7.25,7.278,7.301,7.33,7.351,7.378,7.408,7.435,7.469,7.496,7.523,7.551,7.588,7.626,7.68,7.734,7.783,7.815,7.85,7.888,7.966,8.032,8.09,8.13,8.16,8.189,8.242,8.296,8.319,8.382,8.426
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr221,Rangpur,7.2,7.214,7.25,7.278,7.301,7.33,7.351,7.378,7.408,7.435,7.469,7.496,7.523,7.551,7.588,7.626,7.68,7.734,7.783,7.815,7.85,7.888,7.966,8.032,8.09,8.13,8.16,8.189,8.242,8.296,8.319,8.382,8.426
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr222,Maulvibazar,7.675,7.691,7.729,7.759,7.783,7.814,7.836,7.865,7.897,7.926,7.962,7.991,8.02,8.05,8.089,8.126,8.18,8.233,8.282,8.312,8.345,8.382,8.409,8.422,8.427,8.494,8.552,8.608,8.691,8.773,8.797,8.864,8.91
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr222,Sylhet,7.675,7.691,7.729,7.759,7.783,7.814,7.836,7.865,7.897,7.926,7.962,7.991,8.02,8.05,8.089,8.126,8.18,8.233,8.282,8.312,8.345,8.382,8.409,8.422,8.427,8.494,8.552,8.608,8.691,8.773,8.797,8.864,8.91
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr217,Naogaon,7.413,7.428,7.465,7.494,7.517,7.547,7.568,7.596,7.627,7.655,7.69,7.718,7.746,7.774,7.812,7.852,7.908,7.963,8.014,8.047,8.083,8.122,8.137,8.139,8.132,8.227,8.312,8.396,8.505,8.615,8.638,8.704,8.749
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr217,Nawabganj,7.413,7.428,7.465,7.494,7.517,7.547,7.568,7.596,7.627,7.655,7.69,7.718,7.746,7.774,7.812,7.852,7.908,7.963,8.014,8.047,8.083,8.122,8.137,8.139,8.132,8.227,8.312,8.396,8.505,8.615,8.638,8.704,8.749
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr217,Rajshahi,7.413,7.428,7.465,7.494,7.517,7.547,7.568,7.596,7.627,7.655,7.69,7.718,7.746,7.774,7.812,7.852,7.908,7.963,8.014,8.047,8.083,8.122,8.137,8.139,8.132,8.227,8.312,8.396,8.505,8.615,8.638,8.704,8.749
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr218,Natore,7.364,7.378,7.415,7.444,7.467,7.497,7.518,7.546,7.577,7.605,7.639,7.667,7.694,7.723,7.76,7.8,7.854,7.909,7.959,7.992,8.027,8.066,8.141,8.204,8.258,8.309,8.351,8.392,8.458,8.524,8.547,8.612,8.657
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr218,Pabna,7.364,7.378,7.415,7.444,7.467,7.497,7.518,7.546,7.577,7.605,7.639,7.667,7.694,7.723,7.76,7.8,7.854,7.909,7.959,7.992,8.027,8.066,8.141,8.204,8.258,8.309,8.351,8.392,8.458,8.524,8.547,8.612,8.657
Bangladesh,Asia/Pacific,BGD,Subnat,BGDr218,Sirajganj,7.364,7.378,7.415,7.444,7.467,7.497,7.518,7.546,7.577,7.605,7.639,7.667,7.694,7.723,7.76,7.8,7.854,7.909,7.959,7.992,8.027,8.066,8.141,8.204,8.258,8.309,8.351,8.392,8.458,8.524,8.547,8.612,8.657
