state_name_2020,county_name_2020,swing
Alabama,Autauga County,-0.041829398272210105
Alabama,Baldwin County,-0.01625317584571756
Alabama,Barbour County,0.010245892696972292
Alabama,Bibb County,0.0065167421642036705
Alabama,Blount County,-0.05024701865650899
Alabama,Bullock County,-0.02016046603421323
Alabama,Butler County,0.009126394567796986
Alabama,Calhoun County,-0.0029127474975189083
Alabama,Chambers County,0.015833505794609598
Alabama,Cherokee County,-0.03355234984107408
Alabama,Chilton County,-0.013341224672158425
Alabama,Choctaw County,0.021924505214870188
Alabama,Clarke County,-0.009248584058056605
Alabama,Clay County,0.015848139614503542
Alabama,Cleburne County,-0.028389716218671424
Alabama,Coffee County,-0.012187004765407738
Alabama,Colbert County,0.014495312272854888
Alabama,Conecuh County,0.005200904291591493
Alabama,Coosa County,0.037817792739879785
Alabama,Covington County,-0.01695243873772706
Alabama,Crenshaw County,0.008199174205692772
Alabama,Cullman County,-0.029431540335620177
Alabama,Dale County,-5.0091413691166764e-05
Alabama,Dallas County,-0.009967286443866907
Alabama,DeKalb County,-0.018799942493574473
Alabama,Elmore County,-0.022303557366281423
Alabama,Escambia County,0.029088103657018416
Alabama,Etowah County,-0.0056215735876219974
Alabama,Fayette County,-0.014061442435955362
Alabama,Franklin County,0.01323000712044059
Alabama,Geneva County,-0.028168104523112525
Alabama,Greene County,0.012634137318155603
Alabama,Hale County,0.060119725203654606
Alabama,Henry County,0.017412037849699746
Alabama,Houston County,-0.009261472130377923
Alabama,Jackson County,-0.020850452914420614
Alabama,Jefferson County,-0.03334122525663791
Alabama,Lamar County,-0.022475836590871767
Alabama,Lauderdale County,0.007980851739763706
Alabama,Lawrence County,0.01624503726304366
Alabama,Lee County,0.01678164972691859
Alabama,Limestone County,-0.04733289063980811
Alabama,Lowndes County,0.02527489680868039
Alabama,Macon County,0.014884490833046493
Alabama,Madison County,-0.050285111160649695
Alabama,Marengo County,-0.009464505619897805
Alabama,Marion County,-0.021430448506320643
Alabama,Marshall County,-0.03046487771228429
Alabama,Mobile County,-0.014797121566728008
Alabama,Monroe County,0.012347187565954182
Alabama,Montgomery County,-0.05285201704853748
Alabama,Morgan County,-0.026657815249998995
Alabama,Perry County,-0.0057885526417010835
Alabama,Pickens County,0.010427203019145709
Alabama,Pike County,0.017397915791039803
Alabama,Randolph County,0.0015806272923156173
Alabama,Russell County,-0.013082519718810304
Alabama,St. Clair County,-0.05857493723884749
Alabama,Shelby County,-0.05589625927309111
Alabama,Sumter County,0.012301739719032034
Alabama,Talladega County,0.022183829511636888
Alabama,Tallapoosa County,0.0018384849928064773
Alabama,Tuscaloosa County,-0.00435625644232529
Alabama,Walker County,-0.02138947313877798
Alabama,Washington County,0.008566314607854342
Alabama,Wilcox County,6.259218847504133e-06
Alabama,Winston County,-0.04128895314247133
Arizona,Apache County,0.0866474782763336
Arizona,Cochise County,-0.024451035041233693
Arizona,Coconino County,-0.018593225435169086
Arizona,Gila County,-0.025197202578308098
Arizona,Graham County,-0.02672432503432909
Arizona,Greenlee County,0.009704742989492421
Arizona,La Paz County,-0.006305365541365626
Arizona,Maricopa County,-0.0037820983676477016
Arizona,Mohave County,-0.015568936524769927
Arizona,Navajo County,0.029155572251322787
Arizona,Pima County,-0.02526224938967181
Arizona,Pinal County,-0.012375053051182111
Arizona,Santa Cruz County,0.10809777807130741
Arizona,Yavapai County,-0.014128994638327785
Arizona,Yuma County,0.08191528960786099
Arkansas,Arkansas County,-0.014183038721255314
Arkansas,Ashley County,-0.012751212995659955
Arkansas,Baxter County,-0.025117649356124205
Arkansas,Benton County,-0.055238952210830694
Arkansas,Boone County,-0.02958680404434383
Arkansas,Bradley County,0.022967837044631567
Arkansas,Calhoun County,0.028379601369839802
Arkansas,Carroll County,-0.03165206158414319
Arkansas,Chicot County,0.023872521863532697
Arkansas,Clark County,0.003929944610858188
Arkansas,Clay County,-0.04687013727099504
Arkansas,Cleburne County,-0.0387952947832641
Arkansas,Cleveland County,-0.00019755191533626926
Arkansas,Columbia County,-0.00677812615603246
Arkansas,Conway County,-0.011685590250881395
Arkansas,Craighead County,-0.04014211559091052
Arkansas,Crawford County,-0.0453102838408494
Arkansas,Crittenden County,-0.0109908798157098
Arkansas,Cross County,-0.041489830997213484
Arkansas,Dallas County,0.003646786154692494
Arkansas,Desha County,0.010063045181023203
Arkansas,Drew County,-0.000514588853219089
Arkansas,Faulkner County,-0.032488605917046276
Arkansas,Franklin County,-0.05035510845324481
Arkansas,Fulton County,-0.010538307849138284
Arkansas,Garland County,-0.037804041715094105
Arkansas,Grant County,-0.04563965532994846
Arkansas,Greene County,-0.045406295610347425
